Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Cabin_Class,Number_of_Stops,Flight_Layover,Booking_Date,Days_Until_Departure,Is_Holiday_Season,Is_Peak_Season
IndiGo,2019-06-06,Delhi,Cochin,DEL → HYD → COK,05:05,12:10,7h 5m,1 stop,No info,6818,Business,2,2 Stop(s),2019-05-23,14,0,0
Air India,2019-05-18,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15 19 May,21h 15m,2 stops,No info,10441,Business,3,3 Stop(s),2019-05-03,15,1,1
Jet Airways,2019-04-03,Delhi,Cochin,DEL → BOM → COK,14:00,19:00,5h,1 stop,In-flight meal not included,5177,Business,2,2 Stop(s),2019-03-18,16,0,1
IndiGo,2019-06-27,Chennai,Kolkata,MAA → CCU,11:35,14:00,2h 25m,non-stop,No info,3858,Economy,1,1 Stop(s),2019-06-10,17,0,0
IndiGo,2019-05-18,Kolkata,Banglore,CCU → PNQ → BLR,21:00,02:15 19 May,5h 15m,1 stop,No info,6534,Business,2,2 Stop(s),2019-04-30,18,1,1
Multiple carriers,2019-06-15,Delhi,Cochin,DEL → BOM → COK,10:20,01:30 16 Jun,15h 10m,1 stop,No info,6795,Business,2,2 Stop(s),2019-05-27,19,0,0
Multiple carriers,2019-06-03,Delhi,Cochin,DEL → BOM → COK,07:30,19:15,11h 45m,1 stop,No info,9736,Business,2,2 Stop(s),2019-05-14,20,0,0
Jet Airways,2019-05-01,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,non-stop,No info,7229,Business,1,1 Stop(s),2019-04-10,21,1,1
SpiceJet,2019-04-24,Delhi,Cochin,DEL → BLR → COK,17:55,22:50,4h 55m,1 stop,No info,4957,Economy,2,2 Stop(s),2019-04-02,22,0,1
IndiGo,2019-03-09,Banglore,New Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,No info,7648,Business,1,1 Stop(s),2019-02-14,23,0,1
SpiceJet,2019-06-15,Kolkata,Banglore,CCU → BLR,14:55,17:25,2h 30m,non-stop,No info,3873,Economy,1,1 Stop(s),2019-05-22,24,0,0
Jet Airways,2019-05-12,Kolkata,Banglore,CCU → BOM → BLR,18:55,04:40 13 May,9h 45m,1 stop,No info,14388,Business,2,2 Stop(s),2019-04-17,25,1,1
IndiGo,2019-03-06,Kolkata,Banglore,CCU → BLR,17:15,19:55,2h 40m,non-stop,No info,5618,Business,1,1 Stop(s),2019-02-08,26,0,1
Multiple carriers,2019-06-09,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 10 Jun,6h 30m,1 stop,No info,7408,Business,2,2 Stop(s),2019-05-13,27,0,0
Air Asia,2019-03-03,Delhi,Cochin,DEL → BLR → COK,16:45,22:15,5h 30m,1 stop,No info,13774,Business,2,2 Stop(s),2019-02-03,28,0,1
Vistara,2019-05-03,Banglore,Delhi,BLR → DEL,07:00,09:40,2h 40m,non-stop,No info,4668,Economy,1,1 Stop(s),2019-04-04,29,0,0
Jet Airways,2019-03-21,Delhi,Cochin,DEL → UDR → BOM → COK,18:20,04:25 23 Mar,34h 5m,2 stops,No info,13082,Business,3,3 Stop(s),2019-02-19,30,1,1
Air India,2019-06-03,Delhi,Cochin,DEL → BOM → COK,03:50,19:15,15h 25m,1 stop,No info,8669,Business,2,2 Stop(s),2019-05-03,31,0,0
IndiGo,2019-06-24,Delhi,Cochin,DEL → BOM → COK,16:00,01:30 25 Jun,9h 30m,1 stop,No info,6316,Business,2,2 Stop(s),2019-05-23,32,0,0
Jet Airways,2019-03-06,Delhi,Cochin,DEL → BOM → COK,22:20,04:25 07 Mar,6h 5m,1 stop,In-flight meal not included,12583,Business,2,2 Stop(s),2019-02-01,33,0,1
Vistara,2019-03-09,Banglore,New Delhi,BLR → DEL,16:10,18:50,2h 40m,non-stop,No info,7923,Business,1,1 Stop(s),2019-02-03,34,0,1
GoAir,2019-03-03,Delhi,Cochin,DEL → BOM → COK,07:00,12:50,5h 50m,1 stop,No info,7378,Business,2,2 Stop(s),2019-01-27,35,0,1
Vistara,2019-06-03,Banglore,Delhi,BLR → DEL,19:30,22:15,2h 45m,non-stop,No info,4878,Economy,1,1 Stop(s),2019-04-28,36,0,0
Jet Airways,2019-05-18,Kolkata,Banglore,CCU → BOM → BLR,16:30,19:50 19 May,27h 20m,1 stop,In-flight meal not included,10844,Business,2,2 Stop(s),2019-04-11,37,1,1
Jet Airways,2019-04-03,Banglore,Delhi,BLR → DEL,08:20,11:20,3h,non-stop,No info,7229,Business,1,1 Stop(s),2019-02-24,38,0,1
SpiceJet,2019-05-21,Delhi,Cochin,DEL → MAA → COK,06:05,11:20,5h 15m,1 stop,No info,6297,Business,2,2 Stop(s),2019-04-12,39,0,0
Jet Airways,2019-06-12,Kolkata,Banglore,CCU → BOM → BLR,20:00,12:00 13 Jun,16h,1 stop,In-flight meal not included,8529,Business,2,2 Stop(s),2019-05-03,40,0,0
Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,14:00,21:00,7h,1 stop,No info,13727,Business,2,2 Stop(s),2019-04-07,41,1,1
SpiceJet,2019-05-24,Kolkata,Banglore,CCU → PNQ → BLR,08:35,17:15,8h 40m,1 stop,No info,6643,Business,2,2 Stop(s),2019-04-12,42,0,0
Multiple carriers,2019-05-09,Delhi,Cochin,DEL → BOM → COK,10:00,19:00,9h,1 stop,No info,10197,Business,2,2 Stop(s),2019-03-27,43,0,0
SpiceJet,2019-04-21,Kolkata,Banglore,CCU → BLR,22:20,00:40 22 Apr,2h 20m,non-stop,No info,4911,Economy,1,1 Stop(s),2019-03-08,44,1,1
IndiGo,2019-03-06,Chennai,Kolkata,MAA → CCU,05:15,07:35,2h 20m,non-stop,No info,6482,Business,1,1 Stop(s),2019-01-20,45,0,1
Jet Airways,2019-03-01,Banglore,New Delhi,BLR → BOM → DEL,08:55,15:15,6h 20m,1 stop,No info,26890,First Class,2,2 Stop(s),2019-01-14,46,1,1
IndiGo,2019-05-18,Kolkata,Banglore,CCU → HYD → BLR,19:20,23:45,4h 25m,1 stop,No info,3717,Economy,2,2 Stop(s),2019-04-01,47,1,1
IndiGo,2019-06-01,Chennai,Kolkata,MAA → CCU,13:15,15:35,2h 20m,non-stop,No info,3597,Economy,1,1 Stop(s),2019-04-14,48,0,0
Air India,2019-03-18,Banglore,New Delhi,BLR → CCU → GAU → DEL,11:05,22:10,11h 5m,2 stops,No info,10846,Business,3,3 Stop(s),2019-01-28,49,0,1
Air India,2019-03-01,Banglore,New Delhi,BLR → CCU → DEL,05:50,22:45,16h 55m,1 stop,No info,14069,Business,2,2 Stop(s),2019-01-10,50,1,1
Jet Airways,2019-04-01,Delhi,Cochin,DEL → BOM → COK,22:50,12:35 02 Apr,13h 45m,1 stop,In-flight meal not included,5177,Business,2,2 Stop(s),2019-02-09,51,0,1
Air India,2019-03-06,Delhi,Cochin,DEL → NAG → BOM → COK,05:55,07:40 07 Mar,25h 45m,2 stops,No info,14641,Business,3,3 Stop(s),2019-01-13,52,0,1
IndiGo,2019-06-06,Delhi,Cochin,DEL → HYD → COK,08:35,22:30,13h 55m,1 stop,No info,6442,Business,2,2 Stop(s),2019-04-14,53,0,0
Air India,2019-03-21,Delhi,Cochin,DEL → BLR → COK,17:45,23:00,5h 15m,1 stop,No info,5704,Business,2,2 Stop(s),2019-01-26,54,1,1
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,14:05,09:20 07 May,19h 15m,1 stop,In-flight meal not included,9663,Business,2,2 Stop(s),2019-03-12,55,0,0
Jet Airways,2019-06-06,Delhi,Cochin,DEL → BOM → COK,20:55,04:25 07 Jun,7h 30m,1 stop,No info,14714,Business,2,2 Stop(s),2019-04-11,56,0,0
Jet Airways,2019-04-01,Delhi,Cochin,DEL → BOM → COK,10:00,19:00,9h,1 stop,In-flight meal not included,5406,Business,2,2 Stop(s),2019-02-03,57,0,1
Vistara,2019-05-15,Kolkata,Banglore,CCU → DEL → BLR,20:20,20:20 16 May,24h,1 stop,No info,8610,Business,2,2 Stop(s),2019-03-18,58,0,0
Jet Airways,2019-06-12,Delhi,Cochin,DEL → BDQ → BOM → COK,18:25,12:35 13 Jun,18h 10m,2 stops,No info,14237,Business,3,3 Stop(s),2019-04-14,59,0,0
IndiGo,2019-06-09,Banglore,Delhi,BLR → DEL,07:10,10:05,2h 55m,non-stop,No info,4823,Economy,1,1 Stop(s),2019-05-30,10,0,0
IndiGo,2019-03-27,Mumbai,Hyderabad,BOM → HYD,20:05,21:35,1h 30m,non-stop,No info,2227,Economy,1,1 Stop(s),2019-03-16,11,0,1
Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,07:05,04:25 19 May,21h 20m,1 stop,In-flight meal not included,12373,Business,2,2 Stop(s),2019-05-06,12,1,1
Air India,2019-06-06,Delhi,Cochin,DEL → BOM → COK,13:00,19:15,6h 15m,1 stop,No info,8372,Business,2,2 Stop(s),2019-05-24,13,0,0
Jet Airways,2019-03-03,Delhi,Cochin,DEL → BOM → COK,13:55,04:25 04 Mar,14h 30m,1 stop,No info,17024,First Class,2,2 Stop(s),2019-02-17,14,0,1
Air India,2019-05-27,Mumbai,Hyderabad,BOM → HYD,21:05,22:25,1h 20m,non-stop,No info,3100,Economy,1,1 Stop(s),2019-05-12,15,0,0
Jet Airways,2019-03-09,Delhi,Cochin,DEL → BOM → COK,06:50,19:45,12h 55m,1 stop,In-flight meal not included,14053,Business,2,2 Stop(s),2019-02-21,16,0,1
IndiGo,2019-05-09,Chennai,Kolkata,MAA → CCU,05:15,07:40,2h 25m,non-stop,No info,3540,Economy,1,1 Stop(s),2019-04-22,17,0,0
Vistara,2019-05-21,Kolkata,Banglore,CCU → DEL → BLR,20:20,18:50 22 May,22h 30m,1 stop,No info,9345,Business,2,2 Stop(s),2019-05-03,18,0,0
Jet Airways,2019-06-01,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25 02 Jun,22h 55m,2 stops,In-flight meal not included,10368,Business,3,3 Stop(s),2019-05-13,19,0,0
Jet Airways,2019-03-01,Banglore,New Delhi,BLR → BOM → DEL,07:00,12:25,5h 25m,1 stop,No info,26890,First Class,2,2 Stop(s),2019-02-09,20,1,1
SpiceJet,2019-03-09,Mumbai,Hyderabad,BOM → HYD,08:50,10:15,1h 25m,non-stop,No info,5755,Business,1,1 Stop(s),2019-02-16,21,0,1
Jet Airways,2019-03-21,Banglore,New Delhi,BLR → BOM → DEL,08:55,16:10,7h 15m,1 stop,In-flight meal not included,7832,Business,2,2 Stop(s),2019-02-27,22,1,1
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1 stop,No info,14388,Business,2,2 Stop(s),2019-04-13,23,0,0
Air India,2019-06-27,Delhi,Cochin,DEL → HYD → MAA → COK,13:15,09:25 28 Jun,20h 10m,2 stops,No info,8839,Business,3,3 Stop(s),2019-06-03,24,0,0
Air India,2019-03-03,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15 04 Mar,21h 15m,2 stops,No info,22096,First Class,3,3 Stop(s),2019-02-06,25,0,1
Vistara,2019-05-27,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687,Economy,1,1 Stop(s),2019-05-01,26,0,0
Multiple carriers,2019-05-15,Delhi,Cochin,DEL → BOM → COK,08:30,19:00,10h 30m,1 stop,No info,9627,Business,2,2 Stop(s),2019-04-18,27,0,0
Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,11:30,01:35 22 Mar,14h 5m,1 stop,No info,13542,Business,2,2 Stop(s),2019-02-21,28,1,1
IndiGo,2019-04-27,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,4423,Economy,1,1 Stop(s),2019-03-29,29,0,1
IndiGo,2019-03-03,Delhi,Cochin,DEL → HYD → MAA → COK,04:55,21:20,16h 25m,2 stops,No info,8899,Business,3,3 Stop(s),2019-02-01,30,0,1
SpiceJet,2019-04-21,Delhi,Cochin,DEL → MAA → COK,06:05,11:20,5h 15m,1 stop,No info,5583,Business,2,2 Stop(s),2019-03-21,31,1,1
Air Asia,2019-05-27,Delhi,Cochin,DEL → BLR → COK,16:45,06:35 28 May,13h 50m,1 stop,No info,6752,Business,2,2 Stop(s),2019-04-25,32,0,0
SpiceJet,2019-05-21,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,No check-in baggage included,3543,Economy,1,1 Stop(s),2019-04-18,33,0,0
Jet Airways,2019-03-21,Banglore,New Delhi,BLR → BOM → DEL,08:00,15:15,7h 15m,1 stop,In-flight meal not included,7832,Business,2,2 Stop(s),2019-02-15,34,1,1
Air India,2019-05-01,Kolkata,Banglore,CCU → IXR → DEL → BLR,05:50,08:55 02 May,27h 5m,2 stops,No info,10991,Business,3,3 Stop(s),2019-03-27,35,1,1
Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,09:00,12:35 28 May,27h 35m,1 stop,In-flight meal not included,12898,Business,2,2 Stop(s),2019-04-21,36,0,0
Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,14:00,19:00,5h,1 stop,In-flight meal not included,12898,Business,2,2 Stop(s),2019-04-20,37,0,0
GoAir,2019-05-24,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,non-stop,No info,3398,Economy,1,1 Stop(s),2019-04-16,38,0,0
Air India,2019-04-24,Delhi,Cochin,DEL → COK,05:10,08:00,2h 50m,non-stop,No info,5201,Business,1,1 Stop(s),2019-03-16,39,0,1
Air India,2019-05-06,Kolkata,Banglore,CCU → DEL → COK → BLR,10:00,01:20 07 May,15h 20m,2 stops,No info,13873,Business,3,3 Stop(s),2019-03-27,40,0,0
Air India,2019-06-15,Delhi,Cochin,DEL → BLR → COK,17:40,23:00,5h 20m,1 stop,No info,7384,Business,2,2 Stop(s),2019-05-05,41,0,0
Jet Airways,2019-06-06,Delhi,Cochin,DEL → BOM → COK,18:15,04:25 07 Jun,10h 10m,1 stop,In-flight meal not included,10262,Business,2,2 Stop(s),2019-04-25,42,0,0
Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,08:25,12:00 25 Mar,27h 35m,1 stop,In-flight meal not included,10031,Business,2,2 Stop(s),2019-02-09,43,0,1
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → DEL → BLR,09:35,19:10,9h 35m,1 stop,In-flight meal not included,12384,Business,2,2 Stop(s),2019-03-23,44,0,0
Jet Airways,2019-05-09,Kolkata,Banglore,CCU → BOM → BLR,14:05,18:15 10 May,28h 10m,1 stop,In-flight meal not included,7757,Business,2,2 Stop(s),2019-03-25,45,0,0
Jet Airways,2019-03-06,Banglore,New Delhi,BLR → BOM → DEL,21:25,11:25 07 Mar,14h,1 stop,No info,17261,First Class,2,2 Stop(s),2019-01-19,46,0,1
SpiceJet,2019-03-01,Chennai,Kolkata,MAA → CCU,09:30,12:05,2h 35m,non-stop,No info,7298,Business,1,1 Stop(s),2019-01-13,47,1,1
Jet Airways,2019-04-06,Banglore,Delhi,BLR → DEL,15:15,18:10,2h 55m,non-stop,No info,7229,Business,1,1 Stop(s),2019-02-17,48,1,1
IndiGo,2019-04-01,Kolkata,Banglore,CCU → BLR,04:40,07:15,2h 35m,non-stop,No info,4174,Economy,1,1 Stop(s),2019-02-11,49,0,1
IndiGo,2019-05-18,Kolkata,Banglore,CCU → MAA → BLR,17:35,22:15,4h 40m,1 stop,No info,5699,Business,2,2 Stop(s),2019-03-29,50,1,1
Air India,2019-04-24,Kolkata,Banglore,CCU → BLR,14:15,16:45,2h 30m,non-stop,No info,4880,Economy,1,1 Stop(s),2019-03-04,51,0,1
Air India,2019-03-06,Delhi,Cochin,DEL → BOM → COK,08:00,19:15,11h 15m,1 stop,No info,15284,First Class,2,2 Stop(s),2019-01-13,52,0,1
Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,08:25,16:20,7h 55m,1 stop,No info,13759,Business,2,2 Stop(s),2019-01-30,53,0,1
Vistara,2019-03-24,Kolkata,Banglore,CCU → DEL → BLR,09:55,18:45,8h 50m,1 stop,No info,16092,First Class,2,2 Stop(s),2019-01-29,54,0,1
IndiGo,2019-03-09,Mumbai,Hyderabad,BOM → HYD,06:20,07:45,1h 25m,non-stop,No info,4392,Economy,1,1 Stop(s),2019-01-13,55,0,1
Jet Airways,2019-06-24,Delhi,Cochin,DEL → BOM → COK,20:55,12:35 25 Jun,15h 40m,1 stop,In-flight meal not included,10262,Business,2,2 Stop(s),2019-04-29,56,0,0
SpiceJet,2019-06-12,Kolkata,Banglore,CCU → BLR,06:55,09:30,2h 35m,non-stop,No check-in baggage included,3841,Economy,1,1 Stop(s),2019-04-16,57,0,0
GoAir,2019-06-01,Banglore,Delhi,BLR → DEL,07:45,10:40,2h 55m,non-stop,No info,5048,Business,1,1 Stop(s),2019-04-04,58,0,0
Air India,2019-05-21,Kolkata,Banglore,CCU → DEL → BLR,07:00,20:25,13h 25m,1 stop,No info,11096,Business,2,2 Stop(s),2019-03-23,59,0,0
IndiGo,2019-04-24,Delhi,Cochin,DEL → HYD → COK,07:35,12:10,4h 35m,1 stop,No info,5073,Business,2,2 Stop(s),2019-04-14,10,0,1
Jet Airways,2019-03-03,Delhi,Cochin,DEL → BOM → COK,09:55,04:25 04 Mar,18h 30m,1 stop,No info,19828,First Class,2,2 Stop(s),2019-02-20,11,0,1
Vistara,2019-03-21,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3739,Economy,1,1 Stop(s),2019-03-09,12,1,1
Air India,2019-03-09,Delhi,Cochin,DEL → AMD → BOM → COK,05:00,19:15 10 Mar,38h 15m,2 stops,No info,10598,Business,3,3 Stop(s),2019-02-24,13,0,1
Jet Airways,2019-06-15,Banglore,Delhi,BLR → DEL,18:55,22:00,3h 5m,non-stop,In-flight meal not included,7229,Business,1,1 Stop(s),2019-06-01,14,0,0
Vistara,2019-04-01,Kolkata,Banglore,CCU → DEL → BLR,17:00,18:50 02 Apr,25h 50m,1 stop,No info,8610,Business,2,2 Stop(s),2019-03-17,15,0,1
Vistara,2019-05-09,Delhi,Cochin,DEL → COK,14:40,17:50,3h 10m,non-stop,No info,6216,Business,1,1 Stop(s),2019-04-23,16,0,0
Air India,2019-06-09,Banglore,Delhi,BLR → DEL,13:20,16:10,2h 50m,non-stop,No info,6961,Business,1,1 Stop(s),2019-05-23,17,0,0
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → DEL → BLR,09:35,21:05,11h 30m,1 stop,In-flight meal not included,10703,Business,2,2 Stop(s),2019-04-18,18,0,0
Jet Airways,2019-05-15,Kolkata,Banglore,CCU → DEL → BLR,17:00,23:35,6h 35m,1 stop,No info,14151,Business,2,2 Stop(s),2019-04-26,19,0,0
Jet Airways,2019-05-09,Kolkata,Banglore,CCU → BOM → BLR,06:30,10:05 10 May,27h 35m,1 stop,In-flight meal not included,8586,Business,2,2 Stop(s),2019-04-19,20,0,0
IndiGo,2019-04-12,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,4488,Economy,1,1 Stop(s),2019-03-22,21,0,1
Multiple carriers,2019-06-15,Delhi,Cochin,DEL → BOM → COK,18:00,01:30 16 Jun,7h 30m,1 stop,No info,7408,Business,2,2 Stop(s),2019-05-24,22,0,0
Jet Airways,2019-04-18,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included,5443,Business,1,1 Stop(s),2019-03-26,23,1,1
Jet Airways,2019-06-12,Kolkata,Banglore,CCU → DEL → BLR,09:35,19:10,9h 35m,1 stop,In-flight meal not included,10539,Business,2,2 Stop(s),2019-05-19,24,0,0
Multiple carriers,2019-06-01,Delhi,Cochin,DEL → BOM → COK,13:00,01:30 02 Jun,12h 30m,1 stop,No info,7723,Business,2,2 Stop(s),2019-05-07,25,0,0
Multiple carriers,2019-03-06,Delhi,Cochin,DEL → BOM → COK,07:30,18:50,11h 20m,1 stop,No info,15411,First Class,2,2 Stop(s),2019-02-08,26,0,1
Jet Airways,2019-05-21,Banglore,Delhi,BLR → DEL,07:10,10:10,3h,non-stop,No info,7229,Business,1,1 Stop(s),2019-04-24,27,0,0
IndiGo,2019-06-21,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,4804,Economy,1,1 Stop(s),2019-05-24,28,1,1
Jet Airways,2019-03-03,Mumbai,Hyderabad,BOM → HYD,02:55,04:25,1h 30m,non-stop,In-flight meal not included,4050,Economy,1,1 Stop(s),2019-02-02,29,0,1
Jet Airways,2019-05-18,Kolkata,Banglore,CCU → DEL → BLR,17:00,19:10 19 May,26h 10m,1 stop,No info,14151,Business,2,2 Stop(s),2019-04-18,30,1,1
SpiceJet,2019-04-06,Delhi,Cochin,DEL → BLR → COK,17:55,22:50,4h 55m,1 stop,No info,4957,Economy,2,2 Stop(s),2019-03-06,31,1,1
Air India,2019-03-03,Banglore,New Delhi,BLR → DEL,21:10,23:55,2h 45m,non-stop,No info,7591,Business,1,1 Stop(s),2019-01-30,32,0,1
Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,13:55,22:35,8h 40m,1 stop,In-flight meal not included,11134,Business,2,2 Stop(s),2019-02-19,33,0,1
IndiGo,2019-05-27,Delhi,Cochin,DEL → HYD → COK,05:05,12:10,7h 5m,1 stop,No info,6600,Business,2,2 Stop(s),2019-04-23,34,0,0
Air India,2019-03-09,Banglore,New Delhi,BLR → DEL,21:10,23:55,2h 45m,non-stop,No info,4966,Economy,1,1 Stop(s),2019-02-02,35,0,1
Air India,2019-06-01,Delhi,Cochin,DEL → CCU → BOM → COK,06:50,07:40 02 Jun,24h 50m,2 stops,No info,15481,First Class,3,3 Stop(s),2019-04-26,36,0,0
SpiceJet,2019-03-01,Kolkata,Banglore,CCU → BLR,22:20,00:40 02 Mar,2h 20m,non-stop,No info,5515,Business,1,1 Stop(s),2019-01-23,37,1,1
Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,08:00,19:00,11h,1 stop,No info,14714,Business,2,2 Stop(s),2019-05-08,38,0,0
GoAir,2019-06-15,Delhi,Cochin,DEL → BOM → COK,10:35,19:35,9h,1 stop,No info,4959,Economy,2,2 Stop(s),2019-05-07,39,0,0
Jet Airways,2019-04-21,Banglore,Delhi,BLR → DEL,11:10,14:05,2h 55m,non-stop,No info,7229,Business,1,1 Stop(s),2019-03-12,40,1,1
Air India,2019-05-15,Delhi,Cochin,DEL → COK,18:05,21:10,3h 5m,non-stop,No info,6094,Business,1,1 Stop(s),2019-04-04,41,0,0
Air Asia,2019-04-24,Kolkata,Banglore,CCU → BLR,10:20,12:55,2h 35m,non-stop,No info,4409,Economy,1,1 Stop(s),2019-03-13,42,0,1
Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,06:00,19:00,13h,1 stop,No info,9794,Business,2,2 Stop(s),2019-04-05,43,1,1
Jet Airways,2019-04-03,Mumbai,Hyderabad,BOM → HYD,02:55,04:20,1h 25m,non-stop,No info,5678,Business,1,1 Stop(s),2019-02-18,44,0,1
IndiGo,2019-06-15,Delhi,Cochin,DEL → HYD → COK,08:35,16:10,7h 35m,1 stop,No info,6442,Business,2,2 Stop(s),2019-05-01,45,0,0
Vistara,2019-05-18,Banglore,Delhi,BLR → DEL,07:00,09:40,2h 40m,non-stop,No info,4878,Economy,1,1 Stop(s),2019-04-02,46,1,1
Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,21:10,10:05 25 Mar,12h 55m,1 stop,In-flight meal not included,12446,Business,2,2 Stop(s),2019-02-05,47,0,1
Jet Airways,2019-05-09,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,04:25 11 May,29h 20m,2 stops,No info,16704,First Class,3,3 Stop(s),2019-03-22,48,0,0
Jet Airways,2019-03-15,Banglore,New Delhi,BLR → BOM → DEL,05:45,10:45,5h,1 stop,In-flight meal not included,9134,Business,2,2 Stop(s),2019-01-25,49,0,1
Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,20:00,04:40 16 May,8h 40m,1 stop,In-flight meal not included,8586,Business,2,2 Stop(s),2019-03-26,50,0,0
Jet Airways,2019-06-01,Banglore,Delhi,BLR → DEL,07:10,10:10,3h,non-stop,In-flight meal not included,7229,Business,1,1 Stop(s),2019-04-11,51,0,0
Jet Airways,2019-04-21,Banglore,Delhi,BLR → DEL,07:10,10:10,3h,non-stop,In-flight meal not included,6144,Business,1,1 Stop(s),2019-02-28,52,1,1
Air India,2019-05-18,Banglore,Delhi,BLR → DEL,10:00,12:45,2h 45m,non-stop,No info,6961,Business,1,1 Stop(s),2019-03-26,53,1,1
Jet Airways,2019-05-09,Kolkata,Banglore,CCU → BOM → BLR,16:30,04:40 10 May,12h 10m,1 stop,In-flight meal not included,10844,Business,2,2 Stop(s),2019-03-16,54,0,0
IndiGo,2019-05-21,Chennai,Kolkata,MAA → CCU,19:35,21:55,2h 20m,non-stop,No info,3597,Economy,1,1 Stop(s),2019-03-27,55,0,0
SpiceJet,2019-03-21,Banglore,New Delhi,BLR → PNQ → DEL,10:20,18:15,7h 55m,1 stop,No info,7139,Business,2,2 Stop(s),2019-01-24,56,1,1
Air India,2019-03-06,Mumbai,Hyderabad,BOM → JDH → DEL → HYD,09:40,15:15 07 Mar,29h 35m,2 stops,No info,25139,First Class,3,3 Stop(s),2019-01-08,57,0,1
Jet Airways,2019-06-01,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,12:35 02 Jun,26h 55m,2 stops,In-flight meal not included,10368,Business,3,3 Stop(s),2019-04-04,58,0,0
Air India,2019-04-06,Delhi,Cochin,DEL → MAA → COK,20:40,09:25 07 Apr,12h 45m,1 stop,No info,5117,Business,2,2 Stop(s),2019-02-06,59,1,1
Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,11:40,19:15,7h 35m,1 stop,No info,9211,Business,2,2 Stop(s),2019-05-08,10,1,1
SpiceJet,2019-04-15,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,non-stop,No info,4174,Economy,1,1 Stop(s),2019-04-04,11,0,1
Multiple carriers,2019-05-27,Delhi,Cochin,DEL → BOM → COK,07:30,19:15,11h 45m,1 stop,No info,10786,Business,2,2 Stop(s),2019-05-15,12,0,0
Jet Airways,2019-03-15,Banglore,New Delhi,BLR → BOM → DEL,08:00,07:40 16 Mar,23h 40m,1 stop,In-flight meal not included,9134,Business,2,2 Stop(s),2019-03-02,13,0,1
Jet Airways,2019-06-01,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,04:25 02 Jun,13h 50m,2 stops,No info,13376,Business,3,3 Stop(s),2019-05-18,14,0,0
Air India,2019-03-21,Banglore,New Delhi,BLR → COK → DEL,22:00,10:50 19 Mar,12h 50m,1 stop,No info,6955,Business,2,2 Stop(s),2019-03-06,15,1,1
Jet Airways,2019-05-09,Kolkata,Banglore,CCU → BOM → BLR,08:25,18:15,9h 50m,1 stop,In-flight meal not included,10844,Business,2,2 Stop(s),2019-04-23,16,0,0
Air Asia,2019-04-01,Kolkata,Banglore,CCU → BLR,19:55,22:25,2h 30m,non-stop,No info,3807,Economy,1,1 Stop(s),2019-03-15,17,0,1
Jet Airways,2019-05-01,Kolkata,Banglore,CCU → BOM → BLR,14:05,12:00 02 May,21h 55m,1 stop,In-flight meal not included,9663,Business,2,2 Stop(s),2019-04-13,18,1,1
Jet Airways,2019-05-09,Delhi,Cochin,DEL → BOM → COK,02:15,04:25 10 May,26h 10m,1 stop,In-flight meal not included,12373,Business,2,2 Stop(s),2019-04-20,19,0,0
