"Airline","Date_of_Journey","Source","Destination","Route","Dep_Time","Arrival_Time","Duration","Total_Stops","Additional_Info","Price","Cabin_Class","Number_of_Stops","Flight_Layover","Booking_Date","Days_Until_Departure","Is_Holiday_Season","Is_Peak_Season","ATF_Price_INR"
"Jet Airways","2019-03-21 00:00:00","Banglore","New Delhi","BLR → BOM → DEL","16:55","10:25 19 Mar","17h 30m","1 stop","In-flight meal not included","7832","Economy","2","2 Stop(s)","2019-02-22 00:00:00","27","1","1","89651.215141777"
"Multiple carriers","2019-03-09 00:00:00","Delhi","Cochin","DEL → BOM → COK","04:00","12:55","8h 55m","1 stop","No info","16259","First Class","2","2 Stop(s)","2019-02-13 00:00:00","24","0","1","61806.764148878"
"IndiGo","2019-06-27 00:00:00","Banglore","Delhi","BLR → DEL","08:30","11:20","2h 50m","non-stop","No info","4823","First Class","1","1 Stop(s)","2019-06-25 00:00:00","2","0","0","66717.740641811"
"Jet Airways","2019-03-06 00:00:00","Banglore","New Delhi","BLR → BOM → DEL","11:40","08:15 07 Mar","20h 35m","1 stop","No info","16736","Business","2","2 Stop(s)","2019-01-18 00:00:00","47","0","1","84978.595366438"
"Air India","2019-06-06 00:00:00","Kolkata","Banglore","CCU → BOM → AMD → BLR","09:25","05:25 07 Jun","20h","2 stops","No info","13217","Business","3","3 Stop(s)","2019-05-03 00:00:00","34","0","0","88682.509041697"
"Multiple carriers","2019-03-27 00:00:00","Delhi","Cochin","DEL → BOM → COK","12:50","21:00","8h 10m","1 stop","No info","6637","First Class","2","2 Stop(s)","2019-02-18 00:00:00","37","0","1","69462.850527726"
"Jet Airways","2019-06-09 00:00:00","Kolkata","Banglore","CCU → BOM → BLR","18:55","12:00 10 Jun","17h 5m","1 stop","In-flight meal not included","10844","Business","2","2 Stop(s)","2019-04-16 00:00:00","54","0","0","77284.720032535"
"Multiple carriers","2019-03-21 00:00:00","Delhi","Cochin","DEL → BOM → COK","10:00","19:15","9h 15m","1 stop","In-flight meal not included","8401","Economy","2","2 Stop(s)","2019-02-24 00:00:00","25","1","1","66266.302682845"
"SpiceJet","2019-04-12 00:00:00","Kolkata","Banglore","CCU → BLR","09:00","11:25","2h 25m","non-stop","No info","3873","Business","1","1 Stop(s)","2019-04-06 00:00:00","6","0","1","65495.740860213"
"Jet Airways","2019-06-24 00:00:00","Delhi","Cochin","DEL → ATQ → BOM → COK","20:00","04:25 25 Jun","8h 25m","2 stops","In-flight meal not included","12410","Economy","3","3 Stop(s)","2019-06-20 00:00:00","4","0","0","75631.098186124"
"Jet Airways","2019-05-18 00:00:00","Delhi","Cochin","DEL → AMD → BOM → COK","23:05","12:35 19 May","13h 30m","2 stops","No info","15129","Economy","3","3 Stop(s)","2019-04-22 00:00:00","26","1","1","85392.260174134"
"IndiGo","2019-05-01 00:00:00","Banglore","Delhi","BLR → DEL","13:00","15:50","2h 50m","non-stop","No info","4423","First Class","1","1 Stop(s)","2019-04-10 00:00:00","21","1","1","60140.864285776"
"Jet Airways","2019-05-27 00:00:00","Delhi","Cochin","DEL → BOM → COK","13:00","19:00","6h","1 stop","No info","16079","Business","2","2 Stop(s)","2019-05-02 00:00:00","25","0","0","75039.731457801"
"Air India","2019-06-06 00:00:00","Kolkata","Banglore","CCU → VNS → DEL → BLR","14:30","08:55 07 Jun","18h 25m","2 stops","No info","15894","First Class","3","3 Stop(s)","2019-04-18 00:00:00","49","0","0","77167.557173726"
"Multiple carriers","2019-05-15 00:00:00","Delhi","Cochin","DEL → BOM → COK","04:55","19:00","14h 5m","1 stop","No info","9103","Economy","2","2 Stop(s)","2019-05-09 00:00:00","6","0","0","79805.206124781"
"Air India","2019-06-12 00:00:00","Delhi","Cochin","DEL → BLR → COK","09:45","08:15 13 Jun","22h 30m","1 stop","No info","8991","Business","2","2 Stop(s)","2019-05-21 00:00:00","22","0","0","86896.397875532"
"Air India","2019-04-01 00:00:00","Kolkata","Banglore","CCU → BOM → HBX → BLR","16:50","18:20 02 Apr","25h 30m","2 stops","No info","7893","Business","3","3 Stop(s)","2019-03-08 00:00:00","24","0","1","84629.796895438"
"IndiGo","2019-03-03 00:00:00","Mumbai","Hyderabad","BOM → HYD","02:30","04:00","1h 30m","non-stop","No info","4575","Business","1","1 Stop(s)","2019-01-26 00:00:00","36","0","1","79197.630639826"
"SpiceJet","2019-05-03 00:00:00","Kolkata","Banglore","CCU → BLR","09:00","11:25","2h 25m","non-stop","No info","3873","First Class","1","1 Stop(s)","2019-05-02 00:00:00","1","0","0","75039.731457801"
"Jet Airways","2019-03-21 00:00:00","Banglore","New Delhi","BLR → BOM → DEL","05:45","21:20","15h 35m","1 stop","In-flight meal not included","7832","First Class","2","2 Stop(s)","2019-03-15 00:00:00","6","1","1","78145.365592351"
"IndiGo","2019-05-01 00:00:00","Chennai","Kolkata","MAA → CCU","14:45","17:05","2h 20m","non-stop","No info","3597","Economy","1","1 Stop(s)","2019-03-26 00:00:00","36","1","1","76998.043626197"
"Jet Airways","2019-03-24 00:00:00","Kolkata","Banglore","CCU → BOM → BLR","21:10","23:25 25 Mar","26h 15m","1 stop","No info","13759","Business","2","2 Stop(s)","2019-02-01 00:00:00","51","0","1","83227.010683026"
"Jet Airways","2019-05-27 00:00:00","Banglore","Delhi","BLR → DEL","18:55","22:00","3h 5m","non-stop","No info","7229","Business","1","1 Stop(s)","2019-04-13 00:00:00","44","0","0","82055.820663678"
"SpiceJet","2019-04-15 00:00:00","Kolkata","Banglore","CCU → BLR","06:55","09:30","2h 35m","non-stop","No info","3873","Economy","1","1 Stop(s)","2019-03-26 00:00:00","20","0","1","76998.043626197"
"Multiple carriers","2019-05-15 00:00:00","Delhi","Cochin","DEL → BOM → COK","06:00","19:00","13h","1 stop","No info","9794","Economy","2","2 Stop(s)","2019-04-29 00:00:00","16","0","0","86452.060855646"
"Air India","2019-03-27 00:00:00","Delhi","Cochin","DEL → BLR → COK","13:30","08:15 28 Mar","18h 45m","1 stop","No info","6681","Business","2","2 Stop(s)","2019-02-07 00:00:00","48","0","1","78508.019906243"
"IndiGo","2019-04-21 00:00:00","Banglore","Delhi","BLR → DEL","21:15","00:15 22 Apr","3h","non-stop","No info","4423","Business","1","1 Stop(s)","2019-03-02 00:00:00","50","1","1","64769.087509366"
"Jet Airways","2019-05-15 00:00:00","Kolkata","Banglore","CCU → BOM → BLR","08:25","19:50","11h 25m","1 stop","In-flight meal not included","10844","First Class","2","2 Stop(s)","2019-05-03 00:00:00","12","0","0","88682.509041697"
"IndiGo","2019-06-01 00:00:00","Delhi","Cochin","DEL → BOM → COK","09:15","21:00","11h 45m","1 stop","No info","7258","Economy","2","2 Stop(s)","2019-05-10 00:00:00","22","0","0","68702.328216313"
"Jet Airways","2019-06-12 00:00:00","Mumbai","Hyderabad","BOM → HYD","10:20","11:50","1h 30m","non-stop","In-flight meal not included","4995","Business","1","1 Stop(s)","2019-05-10 00:00:00","33","0","0","68702.328216313"
"Jet Airways","2019-06-09 00:00:00","Delhi","Cochin","DEL → BOM → COK","20:55","19:00 10 Jun","22h 5m","1 stop","No info","14924","Economy","2","2 Stop(s)","2019-04-11 00:00:00","59","0","0","80334.496103887"
"Vistara","2019-03-15 00:00:00","Banglore","New Delhi","BLR → AMD → DEL","06:40","10:25 16 Mar","27h 45m","1 stop","No info","6590","Business","2","2 Stop(s)","2019-01-28 00:00:00","46","0","1","88340.067511488"
"Jet Airways","2019-06-03 00:00:00","Delhi","Cochin","DEL → BOM → COK","20:55","12:35 04 Jun","15h 40m","1 stop","In-flight meal not included","10262","Economy","2","2 Stop(s)","2019-05-26 00:00:00","8","0","0","81116.657506211"
"SpiceJet","2019-03-09 00:00:00","Kolkata","Banglore","CCU → BLR","09:00","11:30","2h 30m","non-stop","No info","5515","First Class","1","1 Stop(s)","2019-02-27 00:00:00","10","0","1","67598.748076193"
"Jet Airways","2019-03-27 00:00:00","Delhi","Cochin","DEL → AMD → BOM → COK","19:10","19:45 28 Mar","24h 35m","2 stops","In-flight meal not included","6643","Business","3","3 Stop(s)","2019-03-15 00:00:00","12","0","1","78145.365592351"
"IndiGo","2019-06-24 00:00:00","Mumbai","Hyderabad","BOM → HYD","19:05","20:35","1h 30m","non-stop","No info","2754","First Class","1","1 Stop(s)","2019-06-10 00:00:00","14","0","0","80922.863194337"
"IndiGo","2019-06-09 00:00:00","Delhi","Cochin","DEL → BLR → COK","17:05","22:15","5h 10m","1 stop","No info","6493","First Class","2","2 Stop(s)","2019-04-30 00:00:00","40","0","0","80775.947702333"
"IndiGo","2019-05-24 00:00:00","Kolkata","Banglore","CCU → NAG → BLR","18:05","23:30","5h 25m","1 stop","No info","6218","Economy","2","2 Stop(s)","2019-05-01 00:00:00","23","0","0","81757.628394589"
"Air India","2019-06-06 00:00:00","Delhi","Cochin","DEL → BHO → BOM → COK","05:55","19:15","13h 20m","2 stops","No info","10861","Economy","3","3 Stop(s)","2019-05-18 00:00:00","19","0","0","79596.024595714"
"IndiGo","2019-03-06 00:00:00","Delhi","Cochin","DEL → HYD → COK","07:35","16:10","8h 35m","1 stop","No info","7094","Business","2","2 Stop(s)","2019-02-06 00:00:00","28","0","1","78362.871681673"
"SpiceJet","2019-03-24 00:00:00","Mumbai","Hyderabad","BOM → HYD","22:45","00:10 25 Mar","1h 25m","non-stop","No info","2227","Economy","1","1 Stop(s)","2019-02-02 00:00:00","50","0","1","73684.509966496"
"Jet Airways","2019-04-21 00:00:00","Banglore","Delhi","BLR → DEL","19:50","22:50","3h","non-stop","In-flight meal not included","4544","Economy","1","1 Stop(s)","2019-03-07 00:00:00","45","1","1","71061.755119829"
"Air India","2019-03-21 00:00:00","Banglore","New Delhi","BLR → CCU → BBI → DEL","05:50","16:20","10h 30m","2 stops","No info","7664","Economy","3","3 Stop(s)","2019-02-12 00:00:00","37","1","1","80928.935877818"
"Jet Airways","2019-06-27 00:00:00","Banglore","Delhi","BLR → DEL","17:45","20:45","3h","non-stop","No info","8016","Business","1","1 Stop(s)","2019-06-04 00:00:00","23","0","0","63714.599485483"
"Air Asia","2019-05-27 00:00:00","Kolkata","Banglore","CCU → BLR","22:50","01:20 28 May","2h 30m","non-stop","No info","3807","Business","1","1 Stop(s)","2019-05-23 00:00:00","4","0","0","73075.947757969"
"Air India","2019-06-03 00:00:00","Delhi","Cochin","DEL → LKO → BOM → COK","07:10","19:15","12h 5m","2 stops","No info","12698","Economy","3","3 Stop(s)","2019-04-24 00:00:00","40","0","0","68923.108525654"
"Jet Airways","2019-05-24 00:00:00","Kolkata","Banglore","CCU → BOM → BLR","06:30","04:40 25 May","22h 10m","1 stop","In-flight meal not included","8586","First Class","2","2 Stop(s)","2019-03-29 00:00:00","56","0","0","62818.215322753"
"Jet Airways","2019-04-01 00:00:00","Kolkata","Banglore","CCU → BOM → BLR","06:30","04:40 02 Apr","22h 10m","1 stop","In-flight meal not included","7064","First Class","2","2 Stop(s)","2019-02-22 00:00:00","38","0","1","89651.215141777"
"IndiGo","2019-06-09 00:00:00","Delhi","Cochin","DEL → COK","05:35","08:50","3h 15m","non-stop","No info","5601","Economy","1","1 Stop(s)","2019-04-25 00:00:00","45","0","0","84413.934591074"
"SpiceJet","2019-05-21 00:00:00","Delhi","Cochin","DEL → MAA → COK","15:45","22:05","6h 20m","1 stop","No info","7317","Economy","2","2 Stop(s)","2019-04-25 00:00:00","26","0","0","84413.934591074"
"Air India","2019-05-06 00:00:00","Kolkata","Banglore","CCU → DEL → COK → TRV → BLR","10:00","10:30 07 May","24h 30m","3 stops","No info","12797","Economy","4","4 Stop(s)","2019-04-13 00:00:00","23","0","0","82055.820663678"
"IndiGo","2019-04-06 00:00:00","Kolkata","Banglore","CCU → MAA → BLR","06:15","10:30","4h 15m","1 stop","No info","4226","Business","2","2 Stop(s)","2019-03-09 00:00:00","28","1","1","62913.038273792"
"Jet Airways","2019-05-12 00:00:00","Kolkata","Banglore","CCU → DEL → BLR","17:00","23:35","6h 35m","1 stop","No info","14151","First Class","2","2 Stop(s)","2019-04-17 00:00:00","25","1","1","77761.257938155"
"IndiGo","2019-03-27 00:00:00","Delhi","Cochin","DEL → BOM → COK","10:45","01:35 28 Mar","14h 50m","1 stop","No info","6628","Business","2","2 Stop(s)","2019-01-31 00:00:00","55","0","1","67936.668363139"
"IndiGo","2019-03-09 00:00:00","Banglore","New Delhi","BLR → DEL","04:00","06:50","2h 50m","non-stop","No info","8033","Business","1","1 Stop(s)","2019-02-05 00:00:00","32","0","1","78529.064912276"
"Multiple carriers","2019-06-01 00:00:00","Delhi","Cochin","DEL → BOM → COK","10:35","19:00","8h 25m","1 stop","No info","11200","First Class","2","2 Stop(s)","2019-04-15 00:00:00","47","0","0","67462.594305599"
"IndiGo","2019-06-24 00:00:00","Kolkata","Banglore","CCU → BLR","15:30","18:05","2h 35m","non-stop","No info","4804","Economy","1","1 Stop(s)","2019-06-08 00:00:00","16","0","0","72215.49891678"
"Air Asia","2019-06-12 00:00:00","Kolkata","Banglore","CCU → DEL → BLR","22:40","10:40 13 Jun","12h","1 stop","No info","5192","Economy","2","2 Stop(s)","2019-05-24 00:00:00","19","0","0","86757.70065047"
"Jet Airways","2019-06-12 00:00:00","Delhi","Cochin","DEL → JAI → BOM → COK","09:40","04:25 13 Jun","18h 45m","2 stops","No info","13014","Business","3","3 Stop(s)","2019-05-05 00:00:00","38","0","0","72715.651456745"
"Jet Airways","2019-05-21 00:00:00","Kolkata","Banglore","CCU → BOM → BLR","21:10","22:35 22 May","25h 25m","1 stop","In-flight meal not included","10844","Business","2","2 Stop(s)","2019-05-03 00:00:00","18","0","0","88682.509041697"
"Multiple carriers","2019-03-06 00:00:00","Delhi","Cochin","DEL → BOM → COK","07:00","15:30","8h 30m","1 stop","No info","15603","Economy","2","2 Stop(s)","2019-01-07 00:00:00","58","0","1","73127.616337881"
"GoAir","2019-04-03 00:00:00","Banglore","Delhi","BLR → DEL","07:45","10:40","2h 55m","non-stop","No info","4239","Business","1","1 Stop(s)","2019-03-08 00:00:00","26","0","1","84629.796895438"
"Jet Airways","2019-06-12 00:00:00","Kolkata","Banglore","CCU → BOM → BLR","14:05","10:05 13 Jun","20h","1 stop","No info","13044","First Class","2","2 Stop(s)","2019-05-02 00:00:00","41","0","0","75039.731457801"
"Jet Airways","2019-05-27 00:00:00","Delhi","Cochin","DEL → BOM → COK","18:15","19:00 28 May","24h 45m","1 stop","In-flight meal not included","12898","Economy","2","2 Stop(s)","2019-04-09 00:00:00","48","0","0","84868.200876521"
"SpiceJet","2019-04-01 00:00:00","Kolkata","Banglore","CCU → PNQ → BLR","08:35","17:15","8h 40m","1 stop","No info","6013","First Class","2","2 Stop(s)","2019-03-20 00:00:00","12","0","1","68884.205925664"
"Jet Airways","2019-05-06 00:00:00","Kolkata","Banglore","CCU → BOM → BLR","16:30","22:35","6h 5m","1 stop","No info","14781","Business","2","2 Stop(s)","2019-04-02 00:00:00","34","0","0","80022.31139891"
"Jet Airways","2019-03-21 00:00:00","Delhi","Cochin","DEL → BOM → COK","17:30","04:25 22 Mar","10h 55m","1 stop","No info","12557","Economy","2","2 Stop(s)","2019-02-23 00:00:00","26","1","1","63061.344322441"
"Multiple carriers","2019-03-06 00:00:00","Delhi","Cochin","DEL → BOM → COK","04:45","18:50","14h 5m","1 stop","No info","13875","Economy","2","2 Stop(s)","2019-02-16 00:00:00","18","0","1","66311.476832215"
"Jet Airways","2019-06-15 00:00:00","Delhi","Cochin","DEL → IDR → BOM → COK","09:35","04:25 16 Jun","18h 50m","2 stops","In-flight meal not included","11507","First Class","3","3 Stop(s)","2019-05-13 00:00:00","33","0","0","64064.221926673"
"Air India","2019-06-18 00:00:00","Kolkata","Banglore","CCU → BLR","14:15","16:45","2h 30m","non-stop","No info","5510","Economy","1","1 Stop(s)","2019-04-27 00:00:00","52","0","0","86433.095913335"
"GoAir","2019-03-24 00:00:00","Kolkata","Banglore","CCU → AMD → BLR","16:25","00:05 25 Mar","7h 40m","1 stop","No info","10198","Economy","2","2 Stop(s)","2019-02-27 00:00:00","25","0","1","67598.748076193"
"Jet Airways","2019-06-12 00:00:00","Kolkata","Banglore","CCU → GAU → BLR","10:20","17:35","7h 15m","1 stop","No info","8355","Business","2","2 Stop(s)","2019-06-07 00:00:00","5","0","0","77073.022158438"
"Jet Airways","2019-06-01 00:00:00","Banglore","Delhi","BLR → DEL","18:55","22:00","3h 5m","non-stop","No info","8016","Business","1","1 Stop(s)","2019-04-18 00:00:00","44","0","0","77167.557173726"
"IndiGo","2019-05-27 00:00:00","Delhi","Cochin","DEL → BOM → COK","10:35","21:00","10h 25m","1 stop","No info","6314","Business","2","2 Stop(s)","2019-04-25 00:00:00","32","0","0","84413.934591074"
"Air India","2019-03-09 00:00:00","Delhi","Cochin","DEL → COK","05:10","08:00","2h 50m","non-stop","No info","5831","Business","1","1 Stop(s)","2019-02-15 00:00:00","22","0","1","80119.136088545"
"Jet Airways","2019-06-24 00:00:00","Delhi","Cochin","DEL → BOM → COK","19:15","04:25 25 Jun","9h 10m","1 stop","In-flight meal not included","10262","First Class","2","2 Stop(s)","2019-05-13 00:00:00","42","0","0","64064.221926673"
"Multiple carriers","2019-03-06 00:00:00","Delhi","Cochin","DEL → BOM → COK","13:55","01:35 07 Mar","11h 40m","1 stop","In-flight meal not included","15136","Business","2","2 Stop(s)","2019-01-14 00:00:00","51","0","1","87767.89914878"
"Jet Airways","2019-03-21 00:00:00","Banglore","New Delhi","BLR → BOM → DEL","20:35","10:25 19 Mar","13h 50m","1 stop","In-flight meal not included","7832","Economy","2","2 Stop(s)","2019-02-21 00:00:00","28","1","1","73158.04540387"
"SpiceJet","2019-03-24 00:00:00","Chennai","Kolkata","MAA → CCU","08:20","10:35","2h 15m","non-stop","No info","3859","Economy","1","1 Stop(s)","2019-01-25 00:00:00","58","0","1","63548.232776068"
"IndiGo","2019-04-06 00:00:00","Kolkata","Banglore","CCU → BLR","15:15","17:45","2h 30m","non-stop","No info","4174","Economy","1","1 Stop(s)","2019-03-09 00:00:00","28","1","1","62913.038273792"
"Jet Airways","2019-03-06 00:00:00","Banglore","New Delhi","BLR → BOM → DEL","05:45","11:25","5h 40m","1 stop","No info","19225","Economy","2","2 Stop(s)","2019-03-04 00:00:00","2","0","1","79689.887683958"
"IndiGo","2019-03-09 00:00:00","Delhi","Cochin","DEL → BOM → COK","04:45","21:00","16h 15m","1 stop","No info","10518","Economy","2","2 Stop(s)","2019-02-16 00:00:00","21","0","1","66311.476832215"
"IndiGo","2019-04-06 00:00:00","Banglore","Delhi","BLR → DEL","07:10","10:05","2h 55m","non-stop","No info","4823","Economy","1","1 Stop(s)","2019-03-16 00:00:00","21","1","1","82177.907381949"
"Air India","2019-03-24 00:00:00","Banglore","New Delhi","BLR → DEL","10:00","12:45","2h 45m","non-stop","No info","7276","Business","1","1 Stop(s)","2019-01-24 00:00:00","59","0","1","83415.875288594"
"Multiple carriers","2019-06-09 00:00:00","Delhi","Cochin","DEL → BOM → COK","10:00","19:00","9h","1 stop","No info","12192","First Class","2","2 Stop(s)","2019-04-28 00:00:00","42","0","0","77438.186179076"
"Air Asia","2019-06-01 00:00:00","Delhi","Cochin","DEL → BLR → COK","16:45","07:10 02 Jun","14h 25m","1 stop","No info","11410","First Class","2","2 Stop(s)","2019-04-03 00:00:00","59","0","0","63953.935872132"
"Air India","2019-05-21 00:00:00","Kolkata","Banglore","CCU → DEL → COK → BLR","10:00","01:20 22 May","15h 20m","2 stops","No info","13033","Economy","3","3 Stop(s)","2019-05-02 00:00:00","19","0","0","75039.731457801"
"Jet Airways","2019-03-01 00:00:00","Banglore","New Delhi","BLR → BOM → DEL","05:45","15:15","9h 30m","1 stop","No info","26890","First Class","2","2 Stop(s)","2019-02-03 00:00:00","26","1","1","77053.018466059"
"IndiGo","2019-06-27 00:00:00","Kolkata","Banglore","CCU → BLR","15:15","17:45","2h 30m","non-stop","No info","4804","Business","1","1 Stop(s)","2019-05-28 00:00:00","30","0","0","87584.47841234"
"Jet Airways","2019-05-15 00:00:00","Kolkata","Banglore","CCU → BOM → BLR","18:55","20:45 16 May","25h 50m","1 stop","In-flight meal not included","10844","First Class","2","2 Stop(s)","2019-04-25 00:00:00","20","0","0","84413.934591074"
"Air India","2019-06-12 00:00:00","Delhi","Cochin","DEL → JDH → BOM → COK","12:55","19:15 13 Jun","30h 20m","2 stops","No info","12436","First Class","3","3 Stop(s)","2019-06-08 00:00:00","4","0","0","72215.49891678"
"IndiGo","2019-06-21 00:00:00","Banglore","Delhi","BLR → DEL","07:10","10:05","2h 55m","non-stop","No info","4823","Economy","1","1 Stop(s)","2019-05-02 00:00:00","50","1","1","75039.731457801"
"IndiGo","2019-06-03 00:00:00","Mumbai","Hyderabad","BOM → HYD","21:20","22:50","1h 30m","non-stop","No info","2227","Economy","1","1 Stop(s)","2019-05-26 00:00:00","8","0","0","81116.657506211"
"Jet Airways","2019-06-01 00:00:00","Delhi","Cochin","DEL → BOM → COK","20:55","12:35 02 Jun","15h 40m","1 stop","In-flight meal not included","10262","Economy","2","2 Stop(s)","2019-05-31 00:00:00","1","0","0","64483.44913974"
"Jet Airways","2019-03-03 00:00:00","Delhi","Cochin","DEL → BOM → COK","08:00","04:25 04 Mar","20h 25m","1 stop","No info","17024","Business","2","2 Stop(s)","2019-02-27 00:00:00","4","0","1","67598.748076193"
"Jet Airways","2019-03-27 00:00:00","Delhi","Cochin","DEL → IXC → BOM → COK","06:20","04:25 28 Mar","22h 5m","2 stops","In-flight meal not included","9296","First Class","3","3 Stop(s)","2019-03-07 00:00:00","20","0","1","71061.755119829"
"Air India","2019-06-06 00:00:00","Delhi","Cochin","DEL → COK","18:05","21:10","3h 5m","non-stop","No info","6094","Business","1","1 Stop(s)","2019-05-25 00:00:00","12","0","0","84185.819671383"
"Jet Airways","2019-06-09 00:00:00","Kolkata","Banglore","CCU → BOM → BLR","08:25","04:40 10 Jun","20h 15m","1 stop","In-flight meal not included","8586","First Class","2","2 Stop(s)","2019-04-15 00:00:00","55","0","0","67462.594305599"
"Jet Airways","2019-06-15 00:00:00","Delhi","Cochin","DEL → NAG → BOM → COK","06:45","04:25 16 Jun","21h 40m","2 stops","In-flight meal not included","10919","First Class","3","3 Stop(s)","2019-05-22 00:00:00","24","0","0","71026.856101437"
"GoAir","2019-06-09 00:00:00","Kolkata","Banglore","CCU → AMD → BLR","16:40","00:15 10 Jun","7h 35m","1 stop","No info","9495","Business","2","2 Stop(s)","2019-05-01 00:00:00","39","0","0","81757.628394589"
"Jet Airways","2019-06-12 00:00:00","Delhi","Cochin","DEL → BOM → COK","21:50","04:25 13 Jun","6h 35m","1 stop","No info","14714","First Class","2","2 Stop(s)","2019-04-29 00:00:00","44","0","0","86452.060855646"
"Air India","2019-06-24 00:00:00","Delhi","Cochin","DEL → COK","14:10","17:10","3h","non-stop","No info","5201","Business","1","1 Stop(s)","2019-05-12 00:00:00","43","0","0","72863.061028373"
"Air India","2019-03-27 00:00:00","Delhi","Cochin","DEL → HYD → MAA → COK","09:45","09:25 28 Mar","23h 40m","2 stops","No info","7090","Business","3","3 Stop(s)","2019-03-11 00:00:00","16","0","1","62882.952236819"
"IndiGo","2019-05-15 00:00:00","Mumbai","Hyderabad","BOM → HYD","09:10","10:40","1h 30m","non-stop","No info","4575","Business","1","1 Stop(s)","2019-04-02 00:00:00","43","0","0","80022.31139891"
"Multiple carriers","2019-05-15 00:00:00","Delhi","Cochin","DEL → HYD → COK","07:05","16:10","9h 5m","1 stop","No info","9646","First Class","2","2 Stop(s)","2019-04-25 00:00:00","20","0","0","84413.934591074"
"IndiGo","2019-06-12 00:00:00","Delhi","Cochin","DEL → MAA → COK","02:00","07:25","5h 25m","1 stop","No info","5636","First Class","2","2 Stop(s)","2019-04-21 00:00:00","52","0","0","73413.761358529"
"Multiple carriers","2019-06-15 00:00:00","Delhi","Cochin","DEL → HYD → COK","07:05","16:10","9h 5m","1 stop","No info","9646","First Class","2","2 Stop(s)","2019-06-10 00:00:00","5","0","0","80922.863194337"
"Jet Airways","2019-03-09 00:00:00","Mumbai","Hyderabad","BOM → HYD","19:40","21:10","1h 30m","non-stop","In-flight meal not included","4050","Economy","1","1 Stop(s)","2019-01-18 00:00:00","50","0","1","84978.595366438"
"Jet Airways","2019-06-09 00:00:00","Delhi","Cochin","DEL → BOM → COK","21:50","19:00 10 Jun","21h 10m","1 stop","No info","14714","First Class","2","2 Stop(s)","2019-05-21 00:00:00","19","0","0","86896.397875532"
"IndiGo","2019-06-18 00:00:00","Kolkata","Banglore","CCU → BLR","15:15","17:45","2h 30m","non-stop","No info","4804","Economy","1","1 Stop(s)","2019-06-16 00:00:00","2","0","0","60351.42252555"
"Jet Airways","2019-06-09 00:00:00","Delhi","Cochin","DEL → BOM → COK","18:15","19:00 10 Jun","24h 45m","1 stop","In-flight meal not included","10577","Economy","2","2 Stop(s)","2019-06-02 00:00:00","7","0","0","64874.788040291"
"GoAir","2019-06-15 00:00:00","Banglore","Delhi","BLR → DEL","20:55","23:40","2h 45m","non-stop","No info","3898","Business","1","1 Stop(s)","2019-05-21 00:00:00","25","0","0","86896.397875532"
"Jet Airways","2019-06-06 00:00:00","Kolkata","Banglore","CCU → BOM → BLR","20:00","12:00 07 Jun","16h","1 stop","No info","14571","First Class","2","2 Stop(s)","2019-04-09 00:00:00","58","0","0","84868.200876521"
"Jet Airways","2019-06-15 00:00:00","Delhi","Cochin","DEL → NAG → BOM → COK","06:45","04:25 16 Jun","21h 40m","2 stops","In-flight meal not included","10919","Business","3","3 Stop(s)","2019-05-07 00:00:00","39","0","0","60575.79594928"
"Jet Airways","2019-06-18 00:00:00","Banglore","Delhi","BLR → DEL","06:00","08:45","2h 45m","non-stop","No info","8016","First Class","1","1 Stop(s)","2019-05-03 00:00:00","46","0","0","88682.509041697"
"IndiGo","2019-03-21 00:00:00","Delhi","Cochin","DEL → HYD → COK","04:55","12:00","7h 5m","1 stop","No info","6287","Economy","2","2 Stop(s)","2019-01-28 00:00:00","52","1","1","88340.067511488"
"Air India","2019-06-06 00:00:00","Kolkata","Banglore","CCU → BOM → BLR","16:50","07:55 07 Jun","15h 5m","1 stop","No info","8366","Economy","2","2 Stop(s)","2019-06-01 00:00:00","5","0","0","86043.781721046"
"Jet Airways","2019-03-06 00:00:00","Delhi","Cochin","DEL → BOM → COK","11:30","18:50","7h 20m","1 stop","In-flight meal not included","15400","Business","2","2 Stop(s)","2019-02-26 00:00:00","8","0","1","79593.249763962"
"Vistara","2019-03-03 00:00:00","Banglore","New Delhi","BLR → DEL","19:40","22:20","2h 40m","non-stop","No info","8553","First Class","1","1 Stop(s)","2019-01-28 00:00:00","34","0","1","88340.067511488"
"SpiceJet","2019-04-09 00:00:00","Kolkata","Banglore","CCU → BLR","06:55","09:30","2h 35m","non-stop","No check-in baggage included","3841","Economy","1","1 Stop(s)","2019-02-12 00:00:00","56","0","1","80928.935877818"
"Air India","2019-04-09 00:00:00","Delhi","Cochin","DEL → BHO → BOM → COK","05:55","07:40 10 Apr","25h 45m","2 stops","No info","10021","Economy","3","3 Stop(s)","2019-02-09 00:00:00","59","0","1","80454.608973105"
"SpiceJet","2019-06-24 00:00:00","Chennai","Kolkata","MAA → CCU","17:45","20:05","2h 20m","non-stop","No info","3597","Economy","1","1 Stop(s)","2019-05-02 00:00:00","53","0","0","75039.731457801"
"IndiGo","2019-05-24 00:00:00","Chennai","Kolkata","MAA → CCU","11:35","14:00","2h 25m","non-stop","No info","4332","Business","1","1 Stop(s)","2019-04-23 00:00:00","31","0","0","80984.378259525"
"GoAir","2019-06-21 00:00:00","Banglore","Delhi","BLR → DEL","20:55","23:40","2h 45m","non-stop","No info","3898","Economy","1","1 Stop(s)","2019-05-25 00:00:00","27","1","1","84185.819671383"
